StudyHours,Attendance,PreviousScore,SleepHours,Result
1.2,86,32,6.3,Fail
5.2,33,86,6.4,Pass
5.9,60,57,6.7,Fail
5.8,52,20,5.3,Fail
3.4,84,72,7.3,Fail
2.0,75,24,5.0,Fail
1.6,41,62,7.7,Fail
5.2,37,89,6.8,Pass
1.7,37,58,7.1,Fail
4.2,42,75,7.3,Pass
2.1,38,70,7.7,Fail
4.6,81,59,3.8,Fail
4.7,96,72,3.4,Pass
2.2,90,64,7.4,Fail
1.9,84,82,6.8,Fail
1.4,82,58,5.6,Fail
5.4,62,100,5.6,Pass
3.9,44,50,7.0,Fail
3.2,93,32,8.0,Fail
1.4,87,57,5.6,Fail
3.3,41,82,5.2,Fail
2.1,51,59,7.0,Fail
5.2,77,51,3.5,Fail
4.5,33,92,4.6,Pass
2.9,56,60,6.0,Fail
3.9,38,70,5.0,Fail
4.5,31,67,7.6,Fail
4.1,53,32,8.6,Fail
2.6,36,39,8.9,Fail
5.6,88,67,6.2,Pass
3.1,54,78,5.6,Fail
5.9,42,91,4.2,Pass
3.7,70,41,6.3,Fail
4.4,74,53,6.7,Fail
2.7,64,74,3.2,Fail
5.7,99,95,4.6,Pass
3.0,73,36,6.4,Fail
2.3,91,62,8.2,Fail
5.7,33,81,8.6,Pass
2.9,82,80,5.9,Fail
3.0,70,44,6.7,Fail
1.2,85,39,3.1,Fail
4.6,82,77,7.6,Pass
1.4,41,37,3.2,Fail
1.8,85,35,6.9,Fail
4.9,62,90,6.7,Pass
5.2,61,45,4.9,Fail
1.9,100,31,4.0,Fail
4.1,75,66,6.0,Pass
4.2,75,25,3.4,Fail
3.9,71,36,8.8,Fail
2.2,76,93,8.4,Fail
4.2,65,93,3.3,Pass
1.1,66,22,4.6,Fail
5.1,92,27,4.3,Fail
2.3,65,31,6.7,Fail
4.5,43,86,7.3,Pass
2.8,46,68,6.8,Fail
5.7,68,20,4.3,Fail
2.4,32,56,6.0,Fail
4.2,36,59,4.2,Fail
3.6,43,45,3.2,Fail
5.9,98,97,6.9,Pass
3.2,80,91,8.5,Fail
3.4,53,40,4.3,Fail
3.1,54,92,3.6,Fail
1.9,98,62,3.3,Fail
1.1,80,82,3.2,Fail
5.7,86,62,6.9,Pass
1.2,80,69,3.7,Fail
3.4,58,83,6.6,Fail
3.7,79,98,3.6,Pass
2.7,39,31,4.4,Fail
1.2,81,84,3.1,Fail
4.8,45,64,5.7,Fail
2.8,49,44,4.4,Fail
5.8,58,57,7.8,Fail
2.5,67,89,5.4,Fail
5.7,98,43,5.2,Fail
5.0,63,91,4.8,Pass
3.2,89,23,3.3,Fail
3.7,70,58,8.9,Fail
2.9,65,37,6.1,Fail
1.5,62,28,5.5,Fail
3.5,43,63,3.3,Fail
3.7,74,65,6.1,Pass
5.4,74,53,4.1,Fail
5.4,84,34,5.6,Fail
1.8,59,88,7.2,Fail
1.0,96,23,7.6,Fail
3.2,37,91,3.3,Fail
1.7,41,88,5.3,Fail
2.4,66,59,5.1,Fail
3.2,60,71,7.0,Fail
3.1,43,29,7.4,Fail
1.6,38,91,4.6,Fail
4.4,77,67,4.6,Pass
1.8,71,79,8.6,Fail
2.0,33,50,3.1,Fail
3.6,43,21,4.2,Fail
3.8,30,98,8.9,Fail
3.7,83,91,8.5,Pass
4.4,84,60,7.6,Pass
5.4,64,45,7.4,Fail
3.7,94,20,8.5,Fail
4.8,49,23,8.0,Fail
2.3,99,21,8.6,Fail
2.2,98,33,5.6,Fail
2.5,46,98,4.2,Fail
4.9,59,54,6.7,Fail
4.0,91,41,3.2,Fail
3.0,33,95,4.4,Fail
1.2,49,77,8.5,Fail
5.6,40,36,8.5,Fail
5.4,55,34,7.9,Fail
3.5,87,73,5.0,Pass
4.0,77,34,5.2,Fail
4.8,52,81,7.6,Pass
2.9,46,38,6.7,Fail
2.0,58,74,7.1,Fail
5.3,46,92,3.2,Pass
3.5,98,37,4.8,Fail
1.4,86,31,4.9,Fail
2.6,35,25,4.5,Fail
3.8,49,29,3.6,Fail
3.0,33,29,6.9,Fail
3.4,32,74,5.8,Fail
1.6,47,40,6.0,Fail
3.1,76,46,6.6,Fail
4.1,44,100,7.8,Pass
3.8,45,56,4.0,Fail
1.5,62,57,8.0,Fail
2.8,38,23,4.3,Fail
3.5,86,20,5.0,Fail
5.1,55,54,8.1,Fail
2.6,48,50,7.1,Fail
4.1,39,71,4.7,Fail
3.1,57,72,5.5,Fail
2.7,75,56,3.6,Fail
2.0,78,76,5.5,Fail
3.6,63,27,4.4,Fail
2.0,71,48,6.3,Fail
4.9,50,73,3.7,Fail
5.1,30,48,4.6,Fail
4.7,78,65,7.7,Pass
3.3,76,73,8.5,Fail
5.4,79,45,3.5,Fail
2.7,35,20,3.3,Fail
4.8,81,90,8.4,Pass
1.9,72,41,5.8,Fail
5.9,39,61,3.6,Fail
2.1,39,54,5.4,Fail
5.0,81,33,8.5,Fail
2.8,67,27,8.4,Fail
4.7,65,98,5.0,Pass
2.0,72,94,8.4,Fail
3.2,47,27,4.1,Fail
4.9,44,41,6.5,Fail
2.7,44,42,5.9,Fail
5.1,92,81,7.6,Pass
2.4,100,30,4.3,Fail
5.6,76,38,5.5,Fail
5.3,68,33,3.5,Fail
4.4,84,51,7.6,Fail
2.2,48,39,6.8,Fail
3.3,53,58,6.8,Fail
2.9,46,33,7.5,Fail
4.9,57,26,3.4,Fail
2.8,95,87,3.3,Fail
2.5,39,72,5.9,Fail
4.3,45,34,7.6,Fail
5.1,90,80,3.2,Pass
2.5,41,59,5.7,Fail
4.5,33,86,3.1,Pass
4.4,79,73,6.1,Pass
4.9,85,98,3.4,Pass
2.8,66,57,5.0,Fail
5.0,65,81,7.1,Pass
2.1,83,47,6.7,Fail
5.0,59,71,8.2,Fail
2.8,69,55,4.6,Fail
3.2,89,47,7.5,Fail
5.6,92,70,5.8,Pass
5.6,82,64,3.0,Pass
5.6,96,37,5.9,Fail
3.8,35,79,7.3,Fail
5.8,69,81,5.4,Pass
3.3,84,66,4.7,Fail
2.0,42,68,7.5,Fail
2.0,57,38,7.0,Fail
3.4,36,100,4.0,Fail
2.4,48,46,5.8,Fail
1.3,96,24,3.8,Fail
2.4,95,94,6.7,Fail
2.5,60,34,5.5,Fail
2.8,93,39,6.0,Fail
4.0,45,90,6.8,Pass
3.9,93,44,5.6,Fail
4.6,37,41,8.8,Fail
4.5,92,54,4.5,Fail
2.2,52,98,6.6,Fail
1.4,41,38,3.6,Fail
3.4,67,86,4.5,Fail
3.0,100,55,4.1,Fail
5.0,78,67,7.1,Pass
3.1,82,54,5.8,Fail
1.5,37,49,4.2,Fail
2.0,98,93,5.7,Fail
2.0,52,99,4.0,Fail
2.7,34,77,4.9,Fail
1.2,97,24,4.2,Fail
5.7,84,61,4.2,Pass
1.3,95,68,8.1,Fail
2.3,92,45,5.3,Fail
2.0,95,74,4.0,Fail
4.3,95,94,8.9,Pass
2.3,68,93,5.2,Fail
2.4,56,46,3.9,Fail
3.0,67,87,5.2,Fail
4.2,60,99,6.4,Pass
5.3,60,26,4.7,Fail
4.9,70,33,6.0,Fail
5.7,38,78,8.5,Pass
4.5,96,75,5.2,Pass
2.5,70,52,8.5,Fail
2.1,60,88,6.8,Fail
5.7,47,33,7.7,Fail
5.5,41,87,6.4,Pass
2.8,87,46,5.7,Fail
2.7,53,96,5.3,Fail
1.4,36,100,4.0,Fail
1.4,43,56,3.9,Fail
1.1,85,47,6.5,Fail
4.5,79,40,8.6,Fail
3.7,93,50,7.8,Fail
5.9,76,40,7.9,Fail
1.2,87,29,8.7,Fail
1.7,62,26,4.1,Fail
5.3,82,36,7.7,Fail
3.1,88,64,8.4,Fail
4.8,53,68,8.7,Fail
4.0,98,59,6.7,Fail
5.6,61,35,5.7,Fail
2.8,54,45,6.8,Fail
5.9,42,77,3.6,Pass
5.1,73,75,5.5,Pass
4.1,74,30,7.8,Fail
2.4,78,46,8.9,Fail
3.6,63,45,5.4,Fail
2.4,79,91,7.6,Fail
5.0,39,91,4.6,Pass
1.9,63,23,3.0,Fail
1.7,56,31,7.4,Fail
5.4,100,41,8.4,Fail
5.0,89,36,7.4,Fail
5.4,61,62,3.8,Fail
2.0,37,43,6.7,Fail
1.3,75,51,8.0,Fail
3.2,52,29,5.4,Fail
2.5,57,78,7.9,Fail
2.3,32,91,3.8,Fail
2.3,92,65,6.7,Fail
5.9,84,33,7.1,Fail
1.3,31,70,4.2,Fail
4.9,51,95,8.7,Pass
2.7,83,72,7.6,Fail
3.2,55,34,8.4,Fail
5.0,97,68,6.2,Pass
1.4,42,25,6.8,Fail
3.1,71,80,8.6,Fail
4.0,83,74,3.7,Pass
4.5,77,73,5.0,Pass
4.0,73,66,8.6,Pass
2.8,33,86,7.7,Fail
1.8,62,69,4.2,Fail
1.4,35,89,6.2,Fail
4.4,52,49,4.8,Fail
3.0,59,66,6.4,Fail
5.7,62,56,6.9,Fail
4.5,84,26,7.0,Fail
2.6,96,26,7.4,Fail
2.7,47,62,7.3,Fail
1.8,76,66,5.6,Fail
3.9,42,69,4.4,Fail
5.4,60,30,8.6,Fail
4.5,59,91,3.0,Pass
2.7,90,23,4.8,Fail
4.9,96,91,4.9,Pass
5.7,73,21,3.0,Fail
4.0,63,27,3.6,Fail
4.6,34,75,5.8,Pass
5.1,42,50,3.8,Fail
5.4,91,67,7.0,Pass
2.1,64,44,4.9,Fail
1.2,100,36,5.3,Fail
3.8,81,65,7.1,Pass
4.2,38,53,6.0,Fail
4.9,56,82,7.4,Pass
3.5,87,67,7.9,Pass
2.2,62,62,7.0,Fail
3.2,87,81,8.1,Fail
2.7,99,22,8.6,Fail
3.7,66,53,7.2,Fail
2.6,36,55,8.2,Fail
2.9,53,74,5.3,Fail
1.5,42,78,7.1,Fail
3.5,95,25,4.7,Fail
3.8,48,79,6.8,Fail
3.2,31,74,7.7,Fail
3.0,92,21,3.6,Fail
4.3,85,36,5.3,Fail
3.1,39,62,8.2,Fail
6.0,33,31,8.3,Fail
2.0,74,33,5.1,Fail
3.1,94,91,4.6,Fail
2.5,45,86,6.9,Fail
4.2,40,59,4.6,Fail
3.6,75,66,4.6,Pass
1.1,40,82,8.1,Fail
5.8,73,25,8.0,Fail
1.6,72,46,4.3,Fail
1.8,91,45,7.3,Fail
2.8,68,59,7.5,Fail
3.6,42,43,8.0,Fail
2.0,47,52,7.2,Fail
2.7,30,25,8.3,Fail
2.7,36,63,7.7,Fail
5.2,88,68,8.3,Pass
4.5,91,66,9.0,Pass
5.1,38,52,6.5,Fail
3.6,81,23,4.3,Fail
4.7,71,86,3.7,Pass
2.8,71,71,6.5,Fail
3.3,31,26,7.2,Fail
4.9,78,39,8.4,Fail
4.8,61,30,5.3,Fail
5.4,88,26,4.4,Fail
1.9,97,90,7.4,Fail
4.3,53,28,6.6,Fail
1.7,45,67,3.4,Fail
5.4,87,87,4.1,Pass
4.3,62,33,8.4,Fail
2.8,61,60,8.7,Fail
2.0,47,76,7.6,Fail
5.1,63,21,3.0,Fail
1.3,65,37,7.5,Fail
3.8,71,39,8.6,Fail
1.2,59,60,6.5,Fail
5.8,41,34,5.3,Fail
3.1,33,31,5.6,Fail
2.1,82,27,4.5,Fail
2.1,70,79,7.4,Fail
3.0,31,43,7.2,Fail
2.6,91,85,7.2,Fail
4.7,99,83,8.9,Pass
4.2,93,34,4.8,Fail
3.5,65,64,7.6,Fail
3.0,42,33,7.6,Fail
2.7,92,85,6.7,Fail
4.3,69,20,4.3,Fail
2.1,58,68,8.4,Fail
2.1,63,57,5.8,Fail
2.8,100,99,3.7,Fail
5.0,59,30,6.8,Fail
4.9,95,78,4.3,Pass
2.3,43,64,8.3,Fail
5.2,36,24,8.1,Fail
2.6,69,73,6.5,Fail
4.2,69,39,4.5,Fail
2.7,80,100,7.6,Fail
5.1,57,66,8.8,Fail
2.4,58,58,3.9,Fail
4.2,55,30,8.6,Fail
1.5,32,88,8.6,Fail
1.9,38,35,8.6,Fail
1.3,46,75,5.9,Fail
4.9,92,49,3.6,Fail
3.1,31,43,6.9,Fail
4.6,69,61,7.2,Fail
1.6,87,40,5.4,Fail
4.9,85,82,8.1,Pass
5.9,95,100,9.0,Pass
4.0,34,70,6.7,Fail
2.7,55,79,8.6,Fail
5.3,95,91,5.5,Pass
1.2,40,64,6.0,Fail
5.6,44,24,5.8,Fail
2.4,90,71,7.8,Fail
5.9,31,24,6.6,Fail
1.9,91,96,3.8,Fail
3.5,42,28,4.9,Fail
2.0,97,25,5.8,Fail
5.9,60,80,3.4,Pass
4.8,42,94,3.3,Pass
3.2,48,43,6.0,Fail
4.7,100,70,8.8,Pass
4.6,59,40,3.7,Fail
1.3,61,89,8.3,Fail
3.0,33,85,6.8,Fail
2.9,51,34,5.9,Fail
1.2,36,37,6.2,Fail
2.9,87,74,8.1,Fail
1.3,73,68,4.4,Fail
4.1,43,97,8.2,Pass
5.2,39,28,3.6,Fail
1.1,39,49,8.5,Fail
5.9,67,30,8.9,Fail
2.3,74,59,5.6,Fail
3.0,30,77,4.1,Fail
1.2,97,57,6.1,Fail
1.4,98,80,3.9,Fail
3.8,50,96,3.1,Fail
5.2,97,100,8.6,Pass
2.4,35,28,6.1,Fail
2.9,62,30,8.8,Fail
5.5,78,87,8.0,Pass
4.2,51,62,7.1,Fail
2.4,95,60,8.2,Fail
5.4,84,76,5.5,Pass
5.3,74,76,4.1,Pass
4.4,56,94,7.6,Pass
4.3,67,83,6.3,Pass
3.1,53,22,3.2,Fail
4.8,66,88,4.7,Pass
5.5,87,40,3.9,Fail
3.6,84,85,4.0,Pass
4.8,88,56,7.0,Fail
1.7,59,24,4.0,Fail
4.3,65,67,7.7,Fail
4.4,91,38,5.0,Fail
4.9,64,31,8.7,Fail
3.3,46,48,5.6,Fail
3.7,60,97,4.4,Fail
4.9,48,73,3.2,Fail
5.7,55,65,7.5,Fail
4.9,34,70,5.8,Fail
2.8,50,67,8.7,Fail
3.6,39,33,5.8,Fail
2.7,55,100,5.4,Fail
3.1,83,27,6.3,Fail
4.2,95,21,6.9,Fail
4.9,60,46,6.9,Fail
1.1,79,58,6.8,Fail
1.7,85,29,7.0,Fail
5.4,41,79,3.8,Pass
1.5,82,65,3.6,Fail
5.3,85,35,6.5,Fail
1.7,44,91,4.3,Fail
3.7,79,63,4.4,Pass
3.8,70,26,3.5,Fail
2.8,75,74,6.4,Fail
3.4,86,52,5.7,Fail
3.9,72,46,6.6,Fail
2.6,66,23,5.1,Fail
4.9,34,90,3.0,Pass
3.9,35,32,6.4,Fail
3.2,57,65,3.3,Fail
1.4,49,44,7.4,Fail
4.8,81,73,7.4,Pass
5.9,85,32,4.1,Fail
3.6,82,40,4.2,Fail
4.4,53,94,3.4,Pass
2.9,45,33,7.3,Fail
2.5,32,22,4.7,Fail
3.9,74,22,7.1,Fail
2.2,63,69,6.9,Fail
2.3,45,54,4.9,Fail
3.7,96,29,3.7,Fail
2.3,38,75,4.8,Fail
1.7,96,99,5.0,Fail
4.2,77,52,5.1,Fail
1.0,44,97,4.4,Fail
2.3,78,60,3.5,Fail
1.6,36,49,3.9,Fail
1.7,85,56,5.5,Fail
1.7,90,43,4.0,Fail
5.9,87,93,7.3,Pass
1.1,68,37,6.2,Fail
5.8,97,41,7.6,Fail
3.5,85,52,6.0,Fail
5.3,61,91,8.5,Pass
2.4,59,39,6.4,Fail
4.3,74,55,8.3,Fail
3.6,56,52,5.2,Fail
5.3,99,53,8.1,Fail
3.0,86,31,3.4,Fail
5.0,37,100,4.6,Pass
5.3,81,68,7.0,Pass
3.5,74,27,4.7,Fail
1.1,34,48,5.3,Fail
5.2,95,75,4.8,Pass
3.2,63,30,8.0,Fail
1.7,41,97,5.4,Fail
3.9,84,45,5.0,Fail
5.1,84,62,4.3,Pass
5.8,53,87,6.4,Pass
2.2,55,72,8.1,Fail
2.5,34,27,4.2,Fail
4.4,68,51,7.2,Fail
5.5,97,77,3.5,Pass
4.5,57,27,8.2,Fail
5.5,82,67,8.6,Pass
4.4,38,99,7.9,Pass
1.7,49,58,4.4,Fail
5.4,60,61,6.7,Fail
2.9,74,57,3.8,Fail
2.6,100,80,5.3,Fail
2.5,66,37,3.1,Fail
4.5,96,93,8.6,Pass
3.6,84,33,5.0,Fail
1.0,69,86,4.2,Fail
2.0,31,73,6.0,Fail
5.2,98,87,8.2,Pass
2.8,33,67,3.5,Fail
3.3,47,20,7.6,Fail
4.0,40,60,6.3,Fail
2.9,65,84,4.7,Fail
1.2,87,73,6.9,Fail
3.0,35,100,7.1,Fail
5.6,63,24,5.0,Fail
4.1,76,60,6.9,Pass
5.2,69,66,7.4,Fail
5.1,42,100,5.7,Pass
1.8,77,53,3.4,Fail
2.0,34,63,8.7,Fail
2.2,78,29,6.9,Fail
1.7,48,25,8.3,Fail
3.3,58,99,6.9,Fail
5.0,35,87,7.2,Pass
2.2,48,70,5.2,Fail
3.7,39,79,4.4,Fail
1.5,86,24,8.7,Fail
4.0,89,82,4.8,Pass
2.5,60,94,5.9,Fail
3.2,95,84,7.4,Fail
5.2,48,97,7.8,Pass
5.1,55,25,8.8,Fail
5.3,95,70,8.2,Pass
2.2,85,43,8.3,Fail
1.0,67,43,3.5,Fail
1.5,33,90,3.8,Fail
2.6,88,54,8.8,Fail
2.7,95,90,4.3,Fail
5.4,92,82,6.7,Pass
4.8,66,73,8.5,Fail
4.5,45,41,5.8,Fail
1.1,62,31,8.2,Fail
3.0,51,61,5.3,Fail
4.5,37,70,4.2,Fail
4.3,76,43,3.3,Fail
3.0,84,28,4.2,Fail
2.0,57,99,4.2,Fail
5.2,72,43,7.6,Fail
1.3,82,72,8.5,Fail
4.7,70,43,5.8,Fail
1.5,60,31,7.3,Fail
3.1,42,36,3.1,Fail
2.6,31,66,7.6,Fail
1.6,94,79,5.9,Fail
4.5,49,100,4.8,Pass
5.6,77,51,8.8,Fail
4.7,70,91,4.4,Pass
2.1,93,29,4.2,Fail
5.0,52,73,4.2,Fail
1.6,60,83,6.8,Fail
4.9,59,44,8.9,Fail
1.7,87,48,7.3,Fail
1.7,75,42,5.5,Fail
2.5,95,26,6.0,Fail
4.4,79,24,4.0,Fail
5.5,71,96,5.8,Pass
5.3,99,97,6.3,Pass
5.3,88,39,9.0,Fail
2.8,94,29,4.0,Fail
4.1,99,34,5.4,Fail
3.3,32,37,7.5,Fail
5.0,51,44,7.3,Fail
1.8,52,27,7.0,Fail
4.6,47,24,4.9,Fail
1.5,49,93,8.2,Fail
4.2,90,79,7.8,Pass
4.3,84,99,5.7,Pass
5.4,53,71,8.2,Fail
3.0,46,58,4.8,Fail
6.0,97,87,7.5,Pass
4.9,75,54,3.3,Fail
5.7,96,61,7.5,Pass
1.4,56,80,6.7,Fail
4.8,54,84,7.9,Pass
5.7,41,66,5.9,Fail
2.1,92,39,8.4,Fail
1.9,98,41,8.4,Fail
4.0,94,96,5.1,Pass
4.0,66,54,5.0,Fail
1.3,62,59,3.5,Fail
4.6,99,69,8.0,Pass
5.0,33,63,4.0,Fail
2.4,65,87,7.9,Fail
1.4,93,35,8.0,Fail
3.2,83,77,3.6,Fail
3.2,31,98,4.7,Fail
2.4,34,78,8.9,Fail
1.1,66,21,3.7,Fail
2.4,91,100,4.0,Fail
4.1,74,95,3.7,Pass
4.7,64,90,6.4,Pass
1.4,40,74,3.7,Fail
1.1,47,48,6.1,Fail
5.3,46,84,3.1,Pass
4.9,30,21,7.4,Fail
5.0,36,97,3.2,Pass
3.1,51,32,6.3,Fail
3.9,94,89,4.6,Pass
5.7,72,60,8.0,Pass
5.8,54,55,4.1,Fail
2.0,54,79,5.7,Fail
5.2,68,73,3.7,Fail
5.3,52,78,6.2,Pass
5.9,70,75,8.1,Pass
4.3,45,33,3.2,Fail
2.2,46,46,4.9,Fail
5.3,80,43,8.6,Fail
1.3,84,68,5.2,Fail
1.3,60,96,4.3,Fail
4.0,50,55,8.0,Fail
3.6,49,93,4.0,Fail
5.1,80,97,7.6,Pass
3.1,74,90,5.3,Fail
1.1,89,89,4.1,Fail
5.9,86,50,6.3,Fail
1.0,34,84,8.4,Fail
1.6,75,33,4.8,Fail
3.6,59,89,8.1,Fail
5.9,100,39,6.7,Fail
2.5,78,92,8.9,Fail
2.5,44,84,7.7,Fail
4.9,64,37,5.0,Fail
4.6,91,61,5.4,Pass
3.6,96,61,8.2,Pass
2.1,47,43,5.0,Fail
5.4,67,96,3.6,Pass
1.2,80,53,3.7,Fail
5.8,43,49,5.6,Fail
2.8,43,76,3.4,Fail
4.4,70,40,7.7,Fail
4.8,94,55,8.3,Fail
4.6,57,49,3.5,Fail
1.2,53,91,4.9,Fail
4.3,89,72,7.4,Pass
4.8,96,83,4.8,Pass
5.2,98,42,8.0,Fail
2.3,88,40,5.0,Fail
4.1,83,64,7.9,Pass
3.9,48,26,7.0,Fail
2.8,57,56,6.3,Fail
5.5,52,49,7.6,Fail
5.3,93,41,6.4,Fail
5.3,99,49,8.5,Fail
5.7,48,40,4.9,Fail
4.7,67,35,5.3,Fail
3.3,38,74,3.8,Fail
2.3,41,83,7.6,Fail
1.0,38,51,4.3,Fail
1.2,49,93,6.8,Fail
4.7,68,35,5.8,Fail
4.5,99,71,7.8,Pass
5.2,86,33,4.3,Fail
4.6,44,22,6.3,Fail
1.7,41,96,4.4,Fail
5.7,55,20,3.7,Fail
2.7,34,71,7.2,Fail
1.2,81,58,6.3,Fail
4.8,72,31,8.4,Fail
4.1,45,20,4.7,Fail
1.3,89,72,3.9,Fail
1.4,63,54,7.1,Fail
2.4,39,39,4.5,Fail
4.9,89,25,5.3,Fail
4.2,41,95,8.8,Pass
2.3,79,70,8.9,Fail
3.8,31,67,7.0,Fail
3.4,55,44,3.9,Fail
3.0,50,50,5.8,Fail
2.6,86,55,7.9,Fail
2.4,56,65,6.2,Fail
3.1,73,69,3.8,Fail
1.5,72,32,3.6,Fail
3.5,65,22,4.1,Fail
4.5,95,83,3.4,Pass
1.6,34,82,6.6,Fail
4.2,94,38,7.1,Fail
4.9,82,84,8.5,Pass
4.1,95,95,6.0,Pass
1.1,66,94,7.6,Fail
5.4,53,72,6.1,Fail
4.9,61,68,5.8,Fail
4.8,98,68,5.6,Pass
3.2,90,95,5.8,Fail
1.7,77,71,8.7,Fail
5.2,81,77,3.5,Pass
3.0,99,83,4.1,Fail
1.8,45,22,3.9,Fail
3.6,66,95,3.6,Fail
5.9,68,79,5.9,Pass
3.1,30,76,8.6,Fail
2.2,52,22,6.3,Fail
3.2,50,76,7.3,Fail
3.5,90,79,6.7,Pass
5.9,34,94,4.0,Pass
